word,doc_id:freq
Jair,"[(0, 1), (1, 1), (24, 1), (85, 1), (125, 1), (145, 1), (150, 6), (165, 2), (206, 13), (209, 1), (215, 1), (219, 1), (220, 1), (221, 1), (223, 1), (230, 1), (236, 1), (237, 1), (238, 1)]"
Bolsonaro,"[(0, 1), (1, 1), (6, 1), (7, 7), (14, 1), (17, 5), (18, 26), (20, 3), (21, 5), (22, 1), (24, 5), (25, 7), (36, 2), (41, 12), (68, 5), (72, 1), (85, 1), (94, 3), (100, 5), (104, 6), (110, 8), (114, 5), (119, 1), (125, 1), (126, 4), (137, 5), (139, 3), (145, 1), (148, 2), (150, 46), (153, 2), (163, 3), (164, 5), (165, 37), (167, 1), (171, 4), (173, 5), (202, 4), (203, 2), (204, 7), (206, 35), (207, 12), (208, 2), (209, 1), (210, 1), (212, 4), (214, 4), (215, 11), (217, 5), (219, 2), (220, 1), (221, 3), (222, 1), (223, 1), (224, 8), (227, 2), (228, 5), (229, 1), (230, 2), (233, 1), (234, 8), (235, 5), (236, 5), (237, 5), (238, 1), (239, 1), (247, 4)]"
tentou,"[(0, 1), (1, 1), (3, 1), (8, 1), (10, 1), (18, 1), (37, 1), (45, 1), (55, 1), (90, 1), (96, 1), (145, 1), (167, 1), (171, 1), (183, 2), (206, 1), (225, 1), (229, 1), (236, 1), (248, 1)]"
suavizar,"[(0, 1), (1, 1), (23, 1), (121, 1)]"
ordem,"[(0, 3), (1, 1), (13, 1), (24, 5), (62, 1), (63, 1), (68, 1), (72, 1), (114, 1), (116, 1), (118, 1), (128, 1), (145, 1), (165, 1), (170, 1), (172, 1), (201, 3), (205, 2), (216, 1), (217, 1), (223, 1)]"
citando,"[(0, 1), (204, 1)]"
rememorar,"[(0, 1), (1, 1)]"
texto,"[(0, 3), (11, 1), (12, 10), (13, 1), (20, 1), (21, 1), (36, 1), (62, 1), (74, 3), (81, 2), (89, 1), (90, 5), (94, 1), (99, 1), (107, 2), (110, 2), (122, 1), (126, 1), (130, 1), (144, 1), (159, 1), (171, 1), (184, 5), (192, 1), (209, 1), (218, 1), (222, 1)]"
divulgado,"[(0, 1), (20, 1), (113, 1), (114, 1), (126, 1), (225, 1), (228, 1), (237, 1), (245, 1)]"
Ministério,"[(0, 2), (5, 1), (13, 1), (25, 1), (36, 1), (38, 2), (41, 1), (60, 1), (64, 2), (74, 1), (75, 2), (83, 1), (88, 1), (103, 1), (114, 4), (123, 3), (150, 2), (159, 2), (161, 2), (165, 2), (168, 1), (170, 2), (172, 1), (201, 2), (202, 4), (204, 2), (206, 1), (207, 1), (213, 1), (214, 1), (216, 1), (218, 2), (219, 3), (220, 3), (222, 3), (225, 1), (232, 2), (240, 1), (245, 1)]"
Defesa,"[(0, 2), (20, 1), (24, 1), (62, 4), (64, 1), (94, 1), (98, 1), (99, 2), (103, 2), (114, 3), (162, 1), (165, 1), (207, 1), (222, 1)]"
alusiva,"[(0, 1)]"
Março,"[(0, 1), (165, 2), (168, 1), (207, 1)]"
lida,"[(0, 1), (12, 1), (59, 1), (113, 1)]"
quartéis,"[(0, 1), (5, 1), (6, 1), (24, 1), (64, 1), (114, 1), (149, 1), (164, 1), (168, 1), (171, 4), (207, 1), (217, 1), (228, 1), (232, 2)]"
compatível,"[(0, 1)]"
processo,"[(0, 1), (2, 2), (11, 2), (13, 1), (20, 3), (24, 2), (28, 2), (31, 1), (38, 1), (39, 4), (46, 2), (59, 1), (60, 1), (62, 8), (65, 2), (74, 1), (81, 2), (87, 1), (90, 3), (97, 1), (104, 1), (105, 1), (107, 1), (109, 3), (111, 1), (116, 1), (118, 1), (119, 1), (120, 1), (123, 1), (129, 1), (136, 1), (142, 1), (143, 1), (144, 1), (147, 1), (150, 5), (152, 1), (160, 5), (161, 4), (164, 2), (170, 1), (172, 4), (187, 1), (197, 1), (200, 1), (201, 3), (209, 1), (210, 1), (216, 3), (220, 3), (222, 2), (226, 5), (231, 3), (246, 1), (247, 1)]"
reconstrução,"[(0, 1), (107, 1), (181, 1), (211, 1), (247, 1)]"
democrática,"[(0, 1), (24, 1), (28, 1), (68, 1), (111, 1), (150, 1), (157, 1), (159, 1), (164, 1), (172, 2), (184, 1)]"
promovido,"[(0, 1), (150, 1), (168, 1), (213, 1), (222, 1)]"
Constituição,"[(0, 1), (36, 1), (62, 1), (94, 1), (99, 1), (150, 1), (159, 1), (165, 1), (170, 3), (171, 1), (172, 4), (204, 1), (208, 4), (212, 2), (224, 1), (228, 1), (230, 1), (232, 2), (234, 2), (239, 1), (247, 1)]"
1988,"[(0, 3), (114, 1), (170, 3), (172, 1), (197, 1), (198, 1), (237, 1)]"
desobedece,"[(0, 2)]"
princípio,"[(0, 2), (27, 1), (89, 2), (96, 1), (108, 1), (140, 1), (142, 1), (172, 1)]"
prevalência,"[(0, 2), (122, 1)]"
direitos,"[(0, 2), (2, 1), (7, 1), (19, 1), (25, 1), (28, 2), (32, 4), (46, 1), (54, 1), (75, 1), (76, 1), (87, 1), (92, 1), (94, 1), (100, 1), (116, 3), (119, 1), (124, 2), (145, 1), (150, 1), (152, 3), (157, 3), (160, 1), (164, 2), (165, 2), (170, 2), (171, 1), (172, 2), (184, 3), (190, 3), (199, 1), (209, 1), (217, 1), (241, 1), (247, 1)]"
humanos,"[(0, 2), (7, 1), (25, 1), (28, 2), (86, 1), (92, 1), (94, 1), (101, 1), (116, 2), (152, 1), (164, 1), (165, 1), (171, 1), (172, 1), (178, 1), (183, 1), (193, 1), (209, 1), (217, 1)]"
ignora,"[(0, 1), (220, 2)]"
decisão,"[(0, 3), (1, 2), (4, 2), (7, 2), (16, 1), (20, 1), (28, 2), (33, 1), (46, 1), (48, 1), (62, 1), (63, 2), (64, 1), (68, 1), (76, 3), (87, 1), (102, 3), (104, 1), (105, 1), (106, 1), (125, 2), (132, 2), (137, 1), (162, 1), (164, 2), (183, 1), (201, 6), (205, 11), (207, 4), (219, 2), (228, 2), (232, 1), (241, 1)]"
Corte,"[(0, 1), (62, 3), (102, 2), (105, 1), (145, 1), (168, 1), (222, 1)]"
Interamericana,"[(0, 1), (222, 1)]"
Direitos,"[(0, 1), (15, 1), (17, 1), (75, 1), (100, 1), (114, 1), (116, 1), (152, 1), (165, 1), (168, 1), (212, 1), (222, 1), (232, 1), (244, 1)]"
Humanos,"[(0, 1), (17, 1), (100, 1), (116, 1), (152, 1), (168, 1), (212, 1), (222, 1), (231, 1), (244, 1)]"
2018,"[(0, 1), (9, 1), (10, 1), (19, 1), (20, 1), (21, 3), (22, 1), (23, 1), (26, 1), (27, 6), (31, 2), (33, 2), (35, 2), (40, 1), (42, 1), (46, 3), (49, 1), (54, 2), (58, 1), (68, 1), (75, 1), (79, 1), (93, 1), (95, 3), (107, 1), (118, 2), (122, 6), (123, 1), (126, 7), (133, 1), (134, 1), (141, 3), (142, 1), (144, 1), (145, 1), (148, 1), (150, 5), (161, 1), (164, 1), (165, 2), (167, 1), (168, 1), (178, 1), (187, 2), (190, 1), (194, 1), (195, 1), (204, 1), (206, 13), (216, 2), (222, 2), (225, 1), (226, 1), (236, 1), (239, 1), (241, 1), (242, 1), (243, 1)]"
condenou,"[(0, 1), (28, 1), (104, 1), (160, 1), (222, 1), (223, 1)]"
Brasileiro,"[(0, 1), (21, 1), (114, 3), (126, 1), (167, 1), (203, 1), (229, 2)]"
apurar,"[(0, 1), (213, 1), (222, 1)]"
julgar,"[(0, 1), (102, 1), (137, 1), (240, 1)]"
responsáveis,"[(0, 1), (15, 2), (63, 1), (103, 1), (113, 1), (123, 1), (124, 1), (131, 1), (137, 1), (150, 1), (164, 1), (168, 1), (170, 1), (178, 1), (184, 1), (206, 1), (219, 1), (221, 1)]"
morte,"[(0, 1), (5, 2), (6, 4), (14, 3), (21, 1), (28, 1), (30, 2), (62, 1), (77, 1), (96, 1), (111, 2), (116, 3), (149, 1), (150, 5), (153, 1), (158, 1), (160, 1), (164, 1), (165, 1), (173, 1), (176, 1), (180, 1), (183, 4), (186, 1), (193, 2), (194, 5), (198, 1), (211, 4), (215, 1), (222, 4), (225, 4), (237, 1), (240, 2), (243, 3), (245, 1), (248, 1)]"
jornalista,"[(0, 1), (3, 2), (5, 4), (6, 1), (8, 1), (10, 2), (18, 1), (35, 1), (58, 1), (78, 1), (103, 1), (113, 1), (148, 1), (188, 1), (192, 1), (194, 2), (210, 1), (211, 6), (222, 3), (223, 5), (237, 1)]"
Vladimir,"[(0, 2), (5, 1), (64, 1), (85, 1), (98, 1), (165, 1), (237, 1)]"
Herzog,"[(0, 2), (5, 1), (222, 2), (237, 1)]"
magistrada,"[(0, 1)]"
pontua,"[(0, 1), (100, 1)]"
datas,"[(0, 1), (62, 1), (171, 1), (177, 1), (206, 1), (211, 1), (237, 1)]"
comemorativas,"[(0, 1)]"
aprovadas,"[(0, 1), (168, 1)]"
Congresso,"[(0, 1), (18, 1), (36, 3), (62, 1), (65, 2), (75, 1), (80, 3), (94, 1), (95, 1), (111, 1), (132, 1), (137, 3), (145, 1), (150, 1), (151, 1), (163, 1), (165, 1), (167, 2), (187, 1), (203, 1), (204, 4), (210, 1), (212, 2), (221, 1), (224, 2), (232, 1), (234, 5), (239, 2), (241, 1), (247, 1)]"
justapõe,"[(0, 1)]"
chancelado,"[(0, 1)]"
